description,category
local restaurant visit,Food
Coursera receipt,Education
Paid mobile phone shop,Shopping
bowling alley receipt,Entertainment
Transaction at IKEA,Shopping
training center,Education
Paid Pizza Hut,Food
Zain,Bills
Monthly Carrefour subscription,Food
mobile phone shop visit,Shopping
Steam receipt,Entertainment
Charge from gift shop,Other
Monthly train ticket subscription,Transportation
furniture shop,Shopping
Payment to board game cafe,Entertainment
PlayStation Store today,Entertainment
coffee shop today,Food
Paid library,Education
Bought something at amusement park,Entertainment
Payment to Zara,Shopping
Charge from Umniah,Bills
Zara purchase,Shopping
Paid KFC,Food
Spent at bank,Other
Spent at clothing store,Shopping
Spent at PlayStation Store,Entertainment
Spent at landlord,Bills
Paid Coursera,Education
Lunch with colleagues,Food
Monthly Udemy subscription,Education
cinema today,Entertainment
H&M receipt,Shopping
shawarma stand visit,Food
New phone from the electronics store,Shopping
car maintenance shop today,Transportation
Order from ATM,Other
Order from juice bar,Food
Starbucks payment,Food
Cafe Latte bill,Food
Spent at Spotify,Entertainment
local restaurant purchase,Food
coffee shop payment,Food
Charge from Coursera,Education
Domino's Pizza visit,Food
Transaction at library,Education
Payment to parking garage,Transportation
tutoring center visit,Education
Spent at Cafe Latte,Food
Bought textbooks for class,Education
Burger King visit,Food
McDonald's,Food
Monthly city bus subscription,Transportation
Netflix subscription renewal,Entertainment
Order from pharmacy,Shopping
bank today,Other
Order from Burger King,Food
Bank service fee,Other
Transaction at Talabat,Food
Transaction at bookshop,Shopping
Paid Steam,Entertainment
bookstore purchase,Education
Paid supermarket,Food
amusement park payment,Entertainment
Paid Subway,Food
donation today,Other
Bought something at car maintenance shop,Transportation
Paid electricity company,Bills
Uber bill,Transportation
parking garage bill,Transportation
Spent at electricity company,Bills
Amazon today,Shopping
donation bill,Other
Burger King payment,Food
gift shop purchase,Other
airport shuttle receipt,Transportation
Charge from board game cafe,Entertainment
Order from car maintenance shop,Transportation
Netflix,Entertainment
Transaction at miscellaneous purchase,Other
Bought something at grocery store,Food
Bought something at Carrefour,Food
mall,Shopping
Weekly grocery shopping,Food
train ticket visit,Transportation
Paid Starbucks,Food
Transaction at Starbucks,Food
Paid water authority,Bills
Payment to electricity company,Bills
Spent at local restaurant,Food
Order from mobile phone shop,Shopping
Paid Careem Food,Food
unknown vendor bill,Other
Paid exam fee office,Education
Payment to Uber,Transportation
miscellaneous purchase bill,Other
service fee payment,Other
Order from local restaurant,Food
Bought something at Zain,Bills
Carrefour today,Food
city bus receipt,Transportation
Monthly mobile phone shop subscription,Shopping
Monthly gift shop subscription,Other
cash withdrawal today,Other
H&M purchase,Shopping
Orange payment,Bills
Withdrew cash from the ATM,Other
Careem Food purchase,Food
